rank,Youtuber,subscribers,channel_type,video_views_rank
1,T-Series,245000000,Music,1
2,YouTube Movies,170000000,Games,4055159
3,MrBeast,166000000,Entertainment,48
4,Cocomelon - Nursery Rhymes,162000000,Education,2
5,SET India,159000000,Entertainment,3
6,Music,119000000,Music,4057944
7,ýýý Kids Diana Show,112000000,Entertainment,5
8,PewDiePie,111000000,Entertainment,44
9,Like Nastya,106000000,People,630
10,Vlad and Niki,98900000,Entertainment,8
11,Zee Music Company,96700000,Music,12
12,WWE,96000000,Sports,7
13,Gaming,93600000,Games,4057944
14,BLACKPINK,89800000,Music,32
15,Goldmines,86900000,Music,4056562
16,Sony SAB,83000000,Entertainment,4
17,5-Minute Crafts,80100000,Entertainment,4057901
18,BANGTANTV,75600000,Music,112
19,Sports,75000000,Entertainment,3898122
20,Justin Bieber,71600000,Music,38
21,HYBE LABELS,71300000,Music,46
22,Zee TV,70500000,Entertainment,9
23,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,Education,23
24,Canal KondZilla,66500000,Music,25
25,ChuChu TV Nursery Rhymes & Kids Songs,65900000,Education,18
26,Shemaroo Filmi Gaane,65600000,Music,47
27,Colors TV,64600000,Entertainment,10
28,T-Series Bhakti Sagar,61000000,Music,4053938
29,Dude Perfect,59500000,Sports,182
30,Movieclips,59500000,Film,11
31,Tips Official,59300000,Music,30
32,El Reino Infantil,58400000,Music,13
33,Wave Music,58000000,Music,21
34,Aaj Tak,57600000,News,71
35,Sony Music India,57200000,Music,45
36,EminemMusic,56900000,Music,59
37,Marshmello,56400000,Music,233
38,YRF,54600000,Music,28
39,LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,nan,3800129
40,Ed Sheeran,53500000,Music,39
41,Infobells - Hindi,53300000,Education,37
42,Taylor Swift,52900000,Music,40
43,Ariana Grande,52700000,Music,78
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,Education,450
45,JuegaGerman,48100000,Games,237
46,Billie Eilish,47900000,Music,263
47,Get Movies,47500000,Film,35
48,Shemaroo,47400000,Entertainment,97
49,Badabun,46800000,Music,4047729
50,SonyMusicIndiaVEVO,46600000,Music,55
51,A4,46300000,People,4053056
52,Bad Bunny,46100000,Sports,4046070
53,Fernanfloo,46100000,Games,419
54,Voot Kids,45500000,Entertainment,105
55,Felipe Neto,45200000,Entertainment,174
56,Vocï¿½ï¿½ï¿½,44700000,Entertainment,681
57,HAR PAL GEO,44600000,Entertainment,20
58,BRIGHT SIDE,44500000,nan,4057944
59,Katy Perry,44200000,Music,70
60,whinderssonnunes,44200000,Comedy,1741
61,ABS-CBN Entertainment,44200000,Entertainment,16
62,Alan Walker,43700000,Film,4056116
63,HolaSoyGerman.,43600000,People,4047806
64,Shakira,43500000,Howto,52
65,ýýýýýýýý ýý ýýýýýýýýýýýýýý,43200000,Education,26
66,ARY Digital HD,43200000,Entertainment,24
67,Speed Records,42500000,Music,62
68,Masha and The Bear,42400000,Film,74
69,Like Nastya Show,42400000,Entertainment,128
70,Rihanna,41900000,Music,98
71,Ishtar Music,41400000,Music,155
72,Kimberly Loaiza,41300000,People,1157
73,Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,Education,22
74,Luisito Comunica,40600000,Comedy,3612215
75,elrubiusOMG,40400000,Entertainment,756
76,Toys and Colors,40300000,People,3989650
77,shfa2 - ï¿½ï¿½,39700000,People,81
78,LUCCAS NETO - LUCCAS TOON,39400000,Games,4057895
79,CarryMinati,39200000,Comedy,2487
80,XXXTENTACION,39200000,Music,403
81,Super Simple Songs - Kids Songs,39200000,Education,19
82,Mikecrack,39100000,Games,188
83,WorkpointOfficial,39000000,Entertainment,27
84,GR6 EXPLODE,38900000,Music,73
85,TEDx Talks,38600000,Nonprofit,768
86,shfa,38400000,Games,150882
87,Goldmines Gaane Sune Ansune,38300000,Music,170
88,One Direction,38200000,Music,539848
89,TheEllenShow,38200000,Entertainment,93
90,Sony PAL,38200000,Entertainment,49
91,Daddy Yankee,38000000,Music,92
92,Vlad vï¿½ï¿½ï,37900000,Entertainment,84
93,Like Nastya ESP,37600000,Entertainment,145
94,ýýýýýýýýýýýý one31,37500000,Entertainment,56
95,Jkk Entertainment,37200000,Comedy,178
96,ABP NEWS,37000000,News,280
97,Maria Clara & JP,37000000,Entertainment,75
98,Bruno Mars,36700000,Music,134
99,Maroon 5,36600000,Music,96
100,Ultra Bollywood,36600000,Entertainment,205
101,PowerKids TV,36500000,Film,139
102,YouTube,36300000,Entertainment,2860
103,News,36300000,nan,4057944
104,Ozuna,36200000,Music,87
105,MrBeast Gaming,36100000,Comedy,4057305
106,La Granja de Zenï¿½,35700000,Music,58
107,Saregama Music,35500000,Music,199
108,IndiaTV,35500000,News,185
109,T-Series Bollywood Classics,35400000,Music,94
110,Total Gaming,35400000,Autos,4056447
111,Markiplier,35200000,Games,119
112,Ryan's World,35200000,Entertainment,15
113,Genevieve's Playhouse - Learning Videos for Kids,34900000,Film,69
114,T-Series Apna Punjab,34600000,News,4057944
115,Techno Gamerz,34400000,Games,4057311
116,Geet MP3,34300000,Music,299
117,J Balvin,34100000,Music,89
118,Jess No Limit,34000000,Entertainment,1882
119,Jingle Toons,34000000,Film,360
120,VEGETTA777,33800000,Games,211
121,Galinha Pintadinha,33800000,Film,54
122,SSSniperWolf,33700000,Entertainment,83
123,Desi Music Factory,33700000,Music,4057699
124,Selena Gomez,33600000,Music,288
125,Rajshri,33500000,Entertainment,222
126,Ch3Thailand,33500000,Entertainment,41
127,KHANDESHI MOVIES,33500000,Comedy,357
128,NoCopyrightSounds,33400000,Music,402
129,CVS 3D Rhymes & Kids Songs,33400000,Education,120
130,Ricis Official,33300000,Entertainment,1043
131,BabyBus - Kids Songs and Cartoons,32800000,Education,64
132,Eros Now Music,32700000,Entertainment,8055
133,BETER Bï¿½ï¿½,32700000,Games,137
134,DisneyMusicVEVO,32700000,Music,50
135,The Weeknd,32600000,Music,85
136,WowKidz,32200000,Entertainment,4053139
137,KAROL G,32100000,Music,140
138,Mr Bean,32100000,Comedy,400
139,rezendeevil,32100000,Entertainment,287
140,StarPlus,32000000,Entertainment,60
141,SMTOWN,31900000,Music,53
142,GMA  Network,31900000,Entertainment,129
143,GENIAL,31800000,Howto,884
144,MR. INDIAN HACKER,31700000,Tech,1132
145,Worldwide Records Bhojpuri,31700000,Music,177
146,DONA ï¿½ï¿½,31700000,Entertainment,110
147,Dream,31700000,Games,2986
148,Lucas and Marcus,31600000,Entertainment,339
149,JustinBieberVEVO,31600000,Music,63
150,Luis Fonsi,31400000,nan,4057944
151,Peppa Pig - Official Channel,31400000,Education,91
152,YOLO AVENTURAS,31200000,Comedy,3361188
153,The Tonight Show Starring Jimmy Fallon,31200000,Comedy,166
154,TheDonato,31200000,Games,997
155,ImagineDragons,30700000,Music,169
156,Diana and Roma ESP,30700000,Entertainment,313
157,Round2hell,30700000,Entertainment,2687
158,Zee News,30500000,News,168
159,AboFlah,30500000,Entertainment,1573
160,AH,30400000,Entertainment,1701
161,Trap Nation,30400000,Music,255
162,ýýýýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý,30400000,Entertainment,147
163,Boram Tube Vlog [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,30300000,Entertainment,269
164,Adele,30200000,Music,248
165,Talking Tom,30200000,Entertainment,4057345
166,ýýýýýýýý ýýýýýýýý ýýýýýýýýýý | toyoraljanahtv,30200000,Music,51
167,Frost Diamond,30100000,nan,4057944
168,Spinnin' Records,30100000,Music,127
169,Little Angel: Nursery Rhymes & Kids Songs,30100000,Education,95
170,jacksepticeye,30100000,Games,183
171,Shawn Mendes,30000000,Music,295
172,ashish chanchlani vines,29800000,Comedy,1622
173,Ultra Records,29600000,Music,165
174,Popular on YouTube,29300000,Education,4019724
175,Maluma,29300000,People,4051498
176,Zhong,29200000,Entertainment,230
177,Enaldinho,29200000,Games,338
178,AuronPlay,29200000,Comedy,1852
179,Shorts Break,29000000,nan,3997024
180,infobells - Tamil,28900000,Education,149
181,Aditya Music India,28500000,Music,4057944
182,The Late Late Show with James Corden,28400000,Entertainment,445
183,Aditya Movies,28400000,Film,432
184,Masha y el Oso,28300000,nan,4057907
185,infobells - Telugu,28300000,Education,223
186,HUM TV,28300000,Entertainment,80
187,Shemaroo Movies,28200000,Film,721
188,Michael Jackson,28200000,Music,242
189,Drake,28100000,Film,4011030
190,Goldmines Dishoom,28000000,Film,587
191,Sandeep Maheshwari,27800000,nan,4057944
192,Bounce Patrol - Kids Songs,27800000,Music,111
193,toycantando,27700000,Music,197
194,MrBeast 2,27500000,Music,2161873
195,Wiz Khalifa,27500000,Music,275
196,JYP Entertainment,27400000,Music,124
197,ýýý Kids Roma Show,27400000,Entertainment,418
198,DanTDM,27400000,Games,132
199,Nick Jr.,27300000,Entertainment,100
200,Crazy XYZ,27300000,Tech,707
201,ToyPuddingTV,27100000,People,4052296
202,Dushyant kukreja,27100000,Entertainment,159
203,Gulshan Kalra,27100000,Howto,296
204,Brent Rivera,27000000,Entertainment,909
205,Renato Garcia YT,26900000,Entertainment,664
206,Beast Reacts,26700000,Entertainment,1632
207,enchufetv,26700000,Comedy,420
208,Netflix,26700000,Entertainment,797
209,Raffy Tulfo in Action,26500000,News,219
210,WORLDSTARHIPHOP,26500000,Music,117
211,Goldmines Bollywood,26400000,Film,588
212,Alan Chikin Chow,26400000,Comedy,61
213,PANDA BOI,26400000,Entertainment,158
214,BB Ki Vines,26300000,Entertainment,1462
215,D Billions,26200000,Entertainment,33
216,Junya.ï¿½ï¿½ï¿½ï¿½,26200000,Entertainment,184
217,Smosh,26100000,Comedy,410
218,1MILLION Dance Studio,26100000,Music,4057944
219,NichLmao,26000000,People,249
220,Beyoncï¿,26000000,Music,163
221,Marï¿½ï¿½ï¿½ï¿½ï¿½,26000000,Music,4057142
222,Indosiar,25900000,Entertainment,358
223,VanossGaming,25800000,Games,206
224,David Guetta,25700000,Music,153
225,LosPolinesios,25700000,People,746
226,Nicki Minaj,25700000,Music,425
227,Fede Vigevani,25600000,nan,4057944
228,TaylorSwiftVEVO,25600000,Music,67
229,ZHC,25500000,Entertainment,4042995
230,Post Malone,25500000,Music,243
231,Rans Entertainment,25400000,Entertainment,942
232,LankyBox,25400000,Games,29
233,Coldplay,25300000,Music,160
234,Las Ratitas,25200000,People,4051936
235,WB Kids,25200000,Film,375
236,ABPLIVE,25200000,People,4026389
237,Chris Brown,25200000,nan,3612215
238,The Lallantop,25200000,News,408
239,RihannaVEVO,25100000,Music,130
240,WatchMojo.com,25100000,Entertainment,180
241,TRANS7 OFFICIAL,25000000,Entertainment,251
242,Anuel AA,25000000,Music,225
243,Dan Rhodes,24800000,Entertainment,157
244,Yuya,24800000,Howto,3505
245,America's Got Talent,24800000,Entertainment,2122
246,mujjuu___14,24800000,People,234
247,EminemVEVO,24700000,Music,115
248,Chloe Ting,24700000,Howto,2897
249,KatyPerryVEVO,24600000,Music,82
250,Mark Rober,24600000,Tech,2178
251,1theK (ï¿½ï¿½ï¿½ï¿½ï,24500000,Entertainment,79
252,Like Nastya AE,24400000,Entertainment,312
253,Amit Bhadana,24300000,People,4054185
254,Pen Movies,24300000,Film,903
255,MrBeast en Espaï¿½ï,24200000,Entertainment,3309
256,shfa show India,24200000,People,203
257,Super JoJo - Nursery Rhymes & Kids Songs,24100000,Education,40117
258,Alejo Igoa,24100000,Entertainment,376
259,Daniel LaBelle,24100000,Comedy,290
260,netd mï¿½ï¿,24100000,Music,14
261,DJ Snake,24100000,Music,602
262,Diana and Roma ARA,24100000,Entertainment,379
263,KSI,24100000,Music,1053
264,Spider Slack,24000000,Comedy,252
265,Goldmines Movies,24000000,People,4057888
266,Preston,24000000,Entertainment,621
267,James Charles,23900000,Entertainment,1860
268,Collins Key,23900000,Entertainment,911
269,Diana and Roma EN,23900000,Entertainment,787
270,Venus Entertainment,23800000,Entertainment,367929
